GrainSize,C,Mn,Si,Ni,Cr,Mo,W,As,V,Cu,t85,HV_total
5.0,0.33,0.91,0.98,0.16,0.94,0.0,0.0,0.0,0.0,0.23,85.96,436.44
6.0,0.29,1.03,1.11,0.3,0.97,0.0,0.0,0.0,0.0,0.2,3.444,573.97
7.0,0.29,0.82,0.92,0.24,0.85,0.0,0.0,0.0,0.0,0.28,4.233,562.803
5.0,0.32,0.92,1.15,0.13,1.02,0.0,0.0,0.0,0.0,0.14,6.679,595.002
7.0,0.29,0.89,1.03,0.15,0.9,0.0,0.0,0.0,0.0,0.14,5.031,564.749
6.0,0.32,0.92,1.14,0.29,1.0,0.0,0.0,0.0,0.0,0.17,7.172,594.443
5.0,0.3,0.95,0.97,0.29,1.08,0.0,0.0,0.0,0.0,0.24,6.195,575.12
5.0,0.34,0.99,1.11,0.14,0.81,0.0,0.0,0.0,0.0,0.26,5.001,611.689
7.0,0.29,1.08,1.19,0.24,0.8,0.0,0.0,0.0,0.0,0.14,3.327,573.796
5.0,0.32,0.86,1.02,0.14,0.93,0.0,0.0,0.0,0.0,0.23,12.417,583.688
5.0,0.32,0.83,1.03,0.29,0.92,0.0,0.0,0.0,0.0,0.26,3.15,597.291
6.0,0.29,1.06,1.02,0.17,1.09,0.0,0.0,0.0,0.0,0.25,3.664,572.769
5.0,0.29,0.88,0.91,0.19,0.85,0.0,0.0,0.0,0.0,0.26,4.137,563.071
6.0,0.31,1.03,1.0,0.26,0.94,0.0,0.0,0.0,0.0,0.25,6.031,583.431
6.0,0.31,1.02,1.14,0.14,0.85,0.0,0.0,0.0,0.0,0.22,3.997,588.423
6.0,0.32,1.05,1.07,0.14,0.88,0.0,0.0,0.0,0.0,0.26,4.645,595.42
6.0,0.33,0.8,1.07,0.18,0.82,0.0,0.0,0.0,0.0,0.1,3.632,603.715
5.0,0.32,0.86,1.13,0.23,0.81,0.0,0.0,0.0,0.0,0.24,3.659,596.721
7.0,0.3,1.01,1.12,0.27,0.81,0.0,0.0,0.0,0.0,0.18,9.56,569.454
7.0,0.32,0.99,1.04,0.23,0.89,0.0,0.0,0.0,0.0,0.27,29.211,549.402
6.0,0.33,0.94,1.15,0.2,0.86,0.0,0.0,0.0,0.0,0.19,12.965,596.173
5.0,0.31,1.0,0.98,0.11,1.02,0.0,0.0,0.0,0.0,0.15,5.175,584.622
6.0,0.34,0.94,1.02,0.24,1.07,0.0,0.0,0.0,0.0,0.12,5.323,613.088
7.0,0.32,1.05,1.15,0.24,0.85,0.0,0.0,0.0,0.0,0.16,3.223,600.594
8.0,0.29,0.92,0.95,0.15,1.06,0.0,0.0,0.0,0.0,0.13,28.355,485.085
7.0,0.33,1.04,0.91,0.23,0.88,0.0,0.0,0.0,0.0,0.27,10.37,594.216
7.0,0.31,1.05,0.94,0.26,0.92,0.0,0.0,0.0,0.0,0.29,5.244,582.99
7.0,0.34,0.83,1.12,0.25,1.09,0.0,0.0,0.0,0.0,0.21,8.746,610.47
5.0,0.33,0.96,0.91,0.19,1.05,0.0,0.0,0.0,0.0,0.13,7.722,597.468
6.0,0.31,0.87,1.02,0.3,0.81,0.0,0.0,0.0,0.0,0.21,6.814,580.449
5.0,0.31,1.04,1.19,0.2,0.9,0.0,0.0,0.0,0.0,0.2,3.509,592.436
5.0,0.31,0.83,1.16,0.11,1.08,0.0,0.0,0.0,0.0,0.29,5.495,588.009
5.0,0.3,0.87,0.95,0.21,0.89,0.0,0.0,0.0,0.0,0.16,3.043,577.074
